State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
PENNSYLVANIA,Under 18,"102,605","5,309","13,798",56,212,"2,028","3,013","2,319","10,329",849,301,"8,723",91,344,48,619,"4,643","1,481",11,550,"6,055",27,49,559,"7,332",385,"17,391",122,"7,923",0,"25,066","2,079","1,067","12,020,349"
,Total all ages,"483,711","25,776","60,856",576,"1,167","7,412","16,621","10,310","46,384","3,479",683,"47,334","2,977","8,634",490,"3,077","12,947","4,576","2,498","2,779","56,228",268,"1,155","53,319","26,626","25,838","62,987","1,101","57,100",0,"25,066","2,079",,
RHODE ISLAND,Under 18,"5,576",200,"1,177",0,14,88,98,240,865,37,35,741,4,25,4,91,458,138,0,34,426,0,95,25,113,2,966,0,988,0,9,80,47,"1,050,788"
,Total all ages,"35,157",876,"3,756",12,58,259,547,777,"2,794",138,47,"4,104",140,758,133,340,"1,264",391,216,122,"3,791",4,159,"2,778",936,12,"3,120",2,"12,166",0,9,80,,
SOUTH CAROLINA,Under 18,"18,306",893,"3,638",27,45,252,569,858,"2,621",116,43,"2,318",22,75,17,182,645,438,1,93,"1,800",1,205,94,974,131,"3,022",0,"3,083",0,60,614,464,"4,399,248"
,Total all ages,"177,424","7,270","18,177",198,289,"1,383","5,400","3,552","13,725",772,128,"13,990","1,534","13,705",352,"1,658","2,466","1,682",388,442,"18,224",53,"1,438","14,742","12,648","12,850","15,768","1,520","37,843",0,60,614,,
SOUTH DAKOTA,Under 18,"5,793",54,"1,121",0,7,2,45,105,929,56,31,460,4,64,11,23,286,57,0,30,403,0,129,107,"1,498",14,254,0,458,0,167,653,94,"630,213"
,Total all ages,"27,721",465,"2,782",13,53,31,368,281,"2,342",115,44,"2,902",109,840,48,61,604,129,10,77,"2,395",0,342,"6,190","5,745",53,"1,746",133,"2,270",0,167,653,,
TENNESSEE,Under 18,"35,507","1,663","7,057",18,60,535,"1,050","1,404","5,141",434,78,"5,648",93,229,48,59,"1,424",604,26,151,"3,004",52,50,204,"1,270",409,"3,650",0,"5,773",0,"1,927","2,166",383,"4,948,055"
,Total all ages,"309,981","13,626","39,706",304,344,"2,934","10,044","6,221","30,894","2,324",267,"31,413","3,104","9,361","1,147",880,"4,295","3,238","2,111",731,"34,686",360,"1,771","26,322","8,071","20,522","10,759",80,"93,705",0,"1,927","2,166",,
